timestamp,product_id,daily_sales
2025-08-27,VITC004,35
2025-08-28,VITC004,39
2025-08-29,VITC004,33
2025-08-30,VITC004,26
2025-08-31,VITC004,25
2025-09-01,VITC004,42
2025-09-02,VITC004,49
2025-09-03,VITC004,50
2025-09-04,VITC004,34
2025-09-05,VITC004,38
2025-09-06,VITC004,35
2025-09-07,VITC004,32
2025-09-08,VITC004,39
2025-09-09,VITC004,36
2025-09-10,VITC004,46
2025-09-11,VITC004,52
2025-09-12,VITC004,51
2025-09-13,VITC004,28
2025-09-14,VITC004,21
2025-09-15,VITC004,29
2025-09-16,VITC004,50
2025-09-17,VITC004,29
2025-09-18,VITC004,43
2025-09-19,VITC004,31
2025-09-20,VITC004,32
2025-09-21,VITC004,27
2025-09-22,VITC004,32
2025-09-23,VITC004,49
2025-09-24,VITC004,40
2025-09-25,VITC004,29
2025-09-26,VITC004,52
2025-09-27,VITC004,20
2025-09-28,VITC004,25
2025-09-29,VITC004,28
2025-09-30,VITC004,43
2025-10-01,VITC004,32
2025-10-02,VITC004,28
2025-10-03,VITC004,52
2025-10-04,VITC004,22
2025-10-05,VITC004,28
2025-10-06,VITC004,35
2025-10-07,VITC004,39
2025-10-08,VITC004,32
2025-10-09,VITC004,40
2025-10-10,VITC004,33
2025-10-11,VITC004,32
2025-10-12,VITC004,19
2025-10-13,VITC004,29
2025-10-14,VITC004,43
2025-10-15,VITC004,37
2025-10-16,VITC004,52
2025-10-17,VITC004,30
2025-10-18,VITC004,24
2025-10-19,VITC004,27
2025-10-20,VITC004,45
2025-10-21,VITC004,30
2025-10-22,VITC004,46
2025-10-23,VITC004,48
2025-10-24,VITC004,46
2025-10-25,VITC004,24
2025-10-26,VITC004,31
2025-10-27,VITC004,36
2025-10-28,VITC004,49
2025-10-29,VITC004,41
2025-10-30,VITC004,42
2025-10-31,VITC004,40
2025-11-01,VITC004,35
2025-11-02,VITC004,23
2025-11-03,VITC004,37
2025-11-04,VITC004,40
2025-11-05,VITC004,34
2025-11-06,VITC004,31
2025-11-07,VITC004,47
2025-11-08,VITC004,26
2025-11-09,VITC004,24
2025-11-10,VITC004,52
2025-11-11,VITC004,35
2025-11-12,VITC004,30
2025-11-13,VITC004,48
2025-11-14,VITC004,51
2025-11-15,VITC004,21
2025-11-16,VITC004,25
2025-11-17,VITC004,52
2025-11-18,VITC004,50
2025-11-19,VITC004,44
2025-11-20,VITC004,38
2025-11-21,VITC004,29
2025-11-22,VITC004,35
2025-11-23,VITC004,30
2025-11-24,VITC004,41
2025-11-25,VITC004,40
2025-11-26,VITC004,49
2025-11-27,VITC004,41
2025-11-28,VITC004,48
2025-11-29,VITC004,25
2025-11-30,VITC004,20
2025-12-01,VITC004,45
2025-12-02,VITC004,32
2025-12-03,VITC004,49
2025-12-04,VITC004,32
2025-12-05,VITC004,38
2025-12-06,VITC004,20
2025-12-07,VITC004,27
2025-12-08,VITC004,34
2025-12-09,VITC004,44
2025-12-10,VITC004,46
2025-12-11,VITC004,29
2025-12-12,VITC004,50
2025-12-13,VITC004,25
2025-12-14,VITC004,23
2025-12-15,VITC004,37
2025-12-16,VITC004,50
2025-12-17,VITC004,46
2025-12-18,VITC004,41
2025-12-19,VITC004,43
2025-12-20,VITC004,28
2025-12-21,VITC004,21
2025-12-22,VITC004,49
2025-12-23,VITC004,49
2025-12-24,VITC004,30
2025-12-25,VITC004,41
2025-12-26,VITC004,40
2025-12-27,VITC004,35
2025-12-28,VITC004,19
2025-12-29,VITC004,43
2025-12-30,VITC004,43
2025-12-31,VITC004,38
2026-01-01,VITC004,29
2026-01-02,VITC004,34
2026-01-03,VITC004,29
2026-01-04,VITC004,27
2026-01-05,VITC004,37
2026-01-06,VITC004,29
2026-01-07,VITC004,50
2026-01-08,VITC004,30
2026-01-09,VITC004,30
2026-01-10,VITC004,25
2026-01-11,VITC004,27
2026-01-12,VITC004,48
2026-01-13,VITC004,30
2026-01-14,VITC004,42
2026-01-15,VITC004,28
2026-01-16,VITC004,32
2026-01-17,VITC004,28
2026-01-18,VITC004,30
2026-01-19,VITC004,29
2026-01-20,VITC004,39
2026-01-21,VITC004,31
2026-01-22,VITC004,40
2026-01-23,VITC004,50
2026-01-24,VITC004,21
2026-01-25,VITC004,35
2026-01-26,VITC004,36
2026-01-27,VITC004,35
2026-01-28,VITC004,42
2026-01-29,VITC004,28
2026-01-30,VITC004,50
2026-01-31,VITC004,35
2026-02-01,VITC004,28
2026-02-02,VITC004,45
2026-02-03,VITC004,31
2026-02-04,VITC004,41
2026-02-05,VITC004,34
2026-02-06,VITC004,33
2026-02-07,VITC004,29
2026-02-08,VITC004,28
2026-02-09,VITC004,33
2026-02-10,VITC004,32
2026-02-11,VITC004,52
2026-02-12,VITC004,38
2026-02-13,VITC004,45
2026-02-14,VITC004,29
2026-02-15,VITC004,31
2026-02-16,VITC004,44
2026-02-17,VITC004,32
2026-02-18,VITC004,50
2026-02-19,VITC004,40
2026-02-20,VITC004,38
2026-02-21,VITC004,35
2026-02-22,VITC004,27
2025-08-27,PCM001,27
2025-08-28,PCM001,20
2025-08-29,PCM001,28
2025-08-30,PCM001,21
2025-08-31,PCM001,20
2025-09-01,PCM001,31
2025-09-02,PCM001,41
2025-09-03,PCM001,27
2025-09-04,PCM001,31
2025-09-05,PCM001,25
2025-09-06,PCM001,16
2025-09-07,PCM001,15
2025-09-08,PCM001,28
2025-09-09,PCM001,23
2025-09-10,PCM001,26
2025-09-11,PCM001,26
2025-09-12,PCM001,33
2025-09-13,PCM001,28
2025-09-14,PCM001,17
2025-09-15,PCM001,20
2025-09-16,PCM001,42
2025-09-17,PCM001,35
2025-09-18,PCM001,22
2025-09-19,PCM001,23
2025-09-20,PCM001,29
2025-09-21,PCM001,30
2025-09-22,PCM001,37
2025-09-23,PCM001,35
2025-09-24,PCM001,38
2025-09-25,PCM001,40
2025-09-26,PCM001,33
2025-09-27,PCM001,19
2025-09-28,PCM001,25
2025-09-29,PCM001,32
2025-09-30,PCM001,30
2025-10-01,PCM001,26
2025-10-02,PCM001,35
2025-10-03,PCM001,37
2025-10-04,PCM001,28
2025-10-05,PCM001,27
2025-10-06,PCM001,43
2025-10-07,PCM001,21
2025-10-08,PCM001,25
2025-10-09,PCM001,24
2025-10-10,PCM001,32
2025-10-11,PCM001,13
2025-10-12,PCM001,17
2025-10-13,PCM001,20
2025-10-14,PCM001,25
2025-10-15,PCM001,27
2025-10-16,PCM001,19
2025-10-17,PCM001,27
2025-10-18,PCM001,30
2025-10-19,PCM001,25
2025-10-20,PCM001,35
2025-10-21,PCM001,41
2025-10-22,PCM001,23
2025-10-23,PCM001,26
2025-10-24,PCM001,38
2025-10-25,PCM001,16
2025-10-26,PCM001,14
2025-10-27,PCM001,38
2025-10-28,PCM001,29
2025-10-29,PCM001,31
2025-10-30,PCM001,19
2025-10-31,PCM001,43
2025-11-01,PCM001,28
2025-11-02,PCM001,27
2025-11-03,PCM001,36
2025-11-04,PCM001,19
2025-11-05,PCM001,43
2025-11-06,PCM001,31
2025-11-07,PCM001,23
2025-11-08,PCM001,18
2025-11-09,PCM001,14
2025-11-10,PCM001,28
2025-11-11,PCM001,21
2025-11-12,PCM001,25
2025-11-13,PCM001,27
2025-11-14,PCM001,29
2025-11-15,PCM001,18
2025-11-16,PCM001,15
2025-11-17,PCM001,34
2025-11-18,PCM001,27
2025-11-19,PCM001,20
2025-11-20,PCM001,38
2025-11-21,PCM001,23
2025-11-22,PCM001,21
2025-11-23,PCM001,24
2025-11-24,PCM001,19
2025-11-25,PCM001,37
2025-11-26,PCM001,31
2025-11-27,PCM001,28
2025-11-28,PCM001,25
2025-11-29,PCM001,29
2025-11-30,PCM001,20
2025-12-01,PCM001,32
2025-12-02,PCM001,38
2025-12-03,PCM001,40
2025-12-04,PCM001,33
2025-12-05,PCM001,31
2025-12-06,PCM001,13
2025-12-07,PCM001,24
2025-12-08,PCM001,20
2025-12-09,PCM001,32
2025-12-10,PCM001,38
2025-12-11,PCM001,42
2025-12-12,PCM001,20
2025-12-13,PCM001,23
2025-12-14,PCM001,14
2025-12-15,PCM001,34
2025-12-16,PCM001,24
2025-12-17,PCM001,24
2025-12-18,PCM001,28
2025-12-19,PCM001,22
2025-12-20,PCM001,27
2025-12-21,PCM001,17
2025-12-22,PCM001,41
2025-12-23,PCM001,41
2025-12-24,PCM001,36
2025-12-25,PCM001,26
2025-12-26,PCM001,24
2025-12-27,PCM001,26
2025-12-28,PCM001,18
2025-12-29,PCM001,26
2025-12-30,PCM001,19
2025-12-31,PCM001,43
2026-01-01,PCM001,28
2026-01-02,PCM001,38
2026-01-03,PCM001,14
2026-01-04,PCM001,13
2026-01-05,PCM001,28
2026-01-06,PCM001,39
2026-01-07,PCM001,38
2026-01-08,PCM001,28
2026-01-09,PCM001,35
2026-01-10,PCM001,23
2026-01-11,PCM001,21
2026-01-12,PCM001,37
2026-01-13,PCM001,30
2026-01-14,PCM001,37
2026-01-15,PCM001,42
2026-01-16,PCM001,23
2026-01-17,PCM001,16
2026-01-18,PCM001,25
2026-01-19,PCM001,42
2026-01-20,PCM001,25
2026-01-21,PCM001,29
2026-01-22,PCM001,19
2026-01-23,PCM001,22
2026-01-24,PCM001,16
2026-01-25,PCM001,22
2026-01-26,PCM001,32
2026-01-27,PCM001,29
2026-01-28,PCM001,25
2026-01-29,PCM001,32
2026-01-30,PCM001,38
2026-01-31,PCM001,19
2026-02-01,PCM001,30
2026-02-02,PCM001,21
2026-02-03,PCM001,28
2026-02-04,PCM001,42
2026-02-05,PCM001,29
2026-02-06,PCM001,31
2026-02-07,PCM001,20
2026-02-08,PCM001,25
2026-02-09,PCM001,36
2026-02-10,PCM001,28
2026-02-11,PCM001,31
2026-02-12,PCM001,30
2026-02-13,PCM001,30
2026-02-14,PCM001,16
2026-02-15,PCM001,24
2026-02-16,PCM001,34
2026-02-17,PCM001,21
2026-02-18,PCM001,39
2026-02-19,PCM001,28
2026-02-20,PCM001,27
2026-02-21,PCM001,19
2026-02-22,PCM001,25
2025-08-27,AMOX002,48
2025-08-28,AMOX002,51
2025-08-29,AMOX002,37
2025-08-30,AMOX002,30
2025-08-31,AMOX002,25
2025-09-01,AMOX002,51
2025-09-02,AMOX002,45
2025-09-03,AMOX002,30
2025-09-04,AMOX002,53
2025-09-05,AMOX002,40
2025-09-06,AMOX002,32
2025-09-07,AMOX002,36
2025-09-08,AMOX002,54
2025-09-09,AMOX002,37
2025-09-10,AMOX002,48
2025-09-11,AMOX002,52
2025-09-12,AMOX002,50
2025-09-13,AMOX002,21
2025-09-14,AMOX002,28
2025-09-15,AMOX002,52
2025-09-16,AMOX002,53
2025-09-17,AMOX002,44
2025-09-18,AMOX002,42
2025-09-19,AMOX002,39
2025-09-20,AMOX002,28
2025-09-21,AMOX002,27
2025-09-22,AMOX002,50
2025-09-23,AMOX002,34
2025-09-24,AMOX002,38
2025-09-25,AMOX002,32
2025-09-26,AMOX002,44
2025-09-27,AMOX002,33
2025-09-28,AMOX002,35
2025-09-29,AMOX002,33
2025-09-30,AMOX002,30
2025-10-01,AMOX002,35
2025-10-02,AMOX002,43
2025-10-03,AMOX002,50
2025-10-04,AMOX002,33
2025-10-05,AMOX002,29
2025-10-06,AMOX002,36
2025-10-07,AMOX002,43
2025-10-08,AMOX002,41
2025-10-09,AMOX002,45
2025-10-10,AMOX002,39
2025-10-11,AMOX002,27
2025-10-12,AMOX002,29
2025-10-13,AMOX002,38
2025-10-14,AMOX002,35
2025-10-15,AMOX002,33
2025-10-16,AMOX002,53
2025-10-17,AMOX002,37
2025-10-18,AMOX002,23
2025-10-19,AMOX002,30
2025-10-20,AMOX002,34
2025-10-21,AMOX002,39
2025-10-22,AMOX002,37
2025-10-23,AMOX002,45
2025-10-24,AMOX002,30
2025-10-25,AMOX002,21
2025-10-26,AMOX002,28
2025-10-27,AMOX002,40
2025-10-28,AMOX002,44
2025-10-29,AMOX002,36
2025-10-30,AMOX002,43
2025-10-31,AMOX002,32
2025-11-01,AMOX002,37
2025-11-02,AMOX002,33
2025-11-03,AMOX002,36
2025-11-04,AMOX002,32
2025-11-05,AMOX002,38
2025-11-06,AMOX002,32
2025-11-07,AMOX002,43
2025-11-08,AMOX002,25
2025-11-09,AMOX002,37
2025-11-10,AMOX002,51
2025-11-11,AMOX002,49
2025-11-12,AMOX002,50
2025-11-13,AMOX002,43
2025-11-14,AMOX002,42
2025-11-15,AMOX002,32
2025-11-16,AMOX002,21
2025-11-17,AMOX002,37
2025-11-18,AMOX002,38
2025-11-19,AMOX002,50
2025-11-20,AMOX002,46
2025-11-21,AMOX002,47
2025-11-22,AMOX002,23
2025-11-23,AMOX002,36
2025-11-24,AMOX002,33
2025-11-25,AMOX002,38
2025-11-26,AMOX002,39
2025-11-27,AMOX002,33
2025-11-28,AMOX002,31
2025-11-29,AMOX002,35
2025-11-30,AMOX002,24
2025-12-01,AMOX002,36
2025-12-02,AMOX002,30
2025-12-03,AMOX002,51
2025-12-04,AMOX002,42
2025-12-05,AMOX002,32
2025-12-06,AMOX002,28
2025-12-07,AMOX002,35
2025-12-08,AMOX002,40
2025-12-09,AMOX002,35
2025-12-10,AMOX002,41
2025-12-11,AMOX002,40
2025-12-12,AMOX002,36
2025-12-13,AMOX002,33
2025-12-14,AMOX002,35
2025-12-15,AMOX002,40
2025-12-16,AMOX002,42
